driver_id: DRV00001, first_name: Jennifer, last_name: Hernandez, hire_date: 2014-10-31, termination_date: nan, license_number: DL673510887, license_state: WA, date_of_birth: 1973-11-07, home_terminal: Denver, employment_status: Active, cdl_class: A, years_experience: 3
driver_id: DRV00002, first_name: William, last_name: Martin, hire_date: 2020-10-02, termination_date: nan, license_number: DL128955006, license_state: GA, date_of_birth: 1976-11-03, home_terminal: Columbus, employment_status: Active, cdl_class: A, years_experience: 20
driver_id: DRV00003, first_name: Charles, last_name: Hernandez, hire_date: 2021-09-21, termination_date: nan, license_number: DL523076025, license_state: NC, date_of_birth: 1970-04-06, home_terminal: Salt Lake City, employment_status: Active, cdl_class: A, years_experience: 19
driver_id: DRV00004, first_name: Barbara, last_name: Brown, hire_date: 2013-09-08, termination_date: nan, license_number: DL735540030, license_state: WA, date_of_birth: 1995-02-06, home_terminal: Denver, employment_status: Active, cdl_class: A, years_experience: 19
driver_id: DRV00005, first_name: Mary, last_name: Martinez, hire_date: 2018-12-02, termination_date: nan, license_number: DL706011277, license_state: AZ, date_of_birth: 1960-07-15, home_terminal: Chicago, employment_status: Active, cdl_class: A, years_experience: 12
driver_id: DRV00006, first_name: Robert, last_name: Taylor, hire_date: 2019-04-04, termination_date: nan, license_number: DL811890569, license_state: NC, date_of_birth: 1990-05-02, home_terminal: Portland, employment_status: Active, cdl_class: A, years_experience: 23
driver_id: DRV00007, first_name: James, last_name: Martinez, hire_date: 2019-07-02, termination_date: 2021-05-17, license_number: DL129100607, license_state: PA, date_of_birth: 1974-05-23, home_terminal: Miami, employment_status: Terminated, cdl_class: A, years_experience: 5
driver_id: DRV00008, first_name: Barbara, last_name: Wilson, hire_date: 2020-06-09, termination_date: 2021-01-23, license_number: DL190137896, license_state: CO, date_of_birth: 1978-12-28, home_terminal: Philadelphia, employment_status: Terminated, cdl_class: A, years_experience: 15
driver_id: DRV00009, first_name: Karen, last_name: Hernandez, hire_date: 2013-09-29, termination_date: nan, license_number: DL790147183, license_state: FL, date_of_birth: 1989-02-22, home_terminal: Los Angeles, employment_status: Active, cdl_class: A, years_experience: 13
driver_id: DRV00010, first_name: Sarah, last_name: Gonzalez, hire_date: 2020-11-08, termination_date: nan, license_number: DL560219456, license_state: WA, date_of_birth: 1974-05-26, home_terminal: Minneapolis, employment_status: Active, cdl_class: A, years_experience: 23
driver_id: DRV00011, first_name: Michael, last_name: Martinez, hire_date: 2014-06-01, termination_date: nan, license_number: DL245706210, license_state: FL, date_of_birth: 1972-07-04, home_terminal: Dallas, employment_status: Active, cdl_class: A, years_experience: 15
driver_id: DRV00012, first_name: Robert, last_name: Moore, hire_date: 2013-09-12, termination_date: nan, license_number: DL595744935, license_state: MO, date_of_birth: 1994-04-21, home_terminal: Nashville, employment_status: Active, cdl_class: A, years_experience: 25
driver_id: DRV00013, first_name: Jessica, last_name: Jones, hire_date: 2015-11-21, termination_date: nan, license_number: DL295130056, license_state: WI, date_of_birth: 1969-05-27, home_terminal: Philadelphia, employment_status: Active, cdl_class: A, years_experience: 3
driver_id: DRV00014, first_name: Richard, last_name: Miller, hire_date: 2021-01-10, termination_date: nan, license_number: DL153992714, license_state: FL, date_of_birth: 1969-02-02, home_terminal: Salt Lake City, employment_status: Active, cdl_class: A, years_experience: 11
